number	name	read	Emb1	cond11	cond12	adv1
506	Anne	Hvem kom på festen i går?	Anne spurte...	EmbSubQ	NonReflexive	none
508	Marit	Hvilken hund likte Pål best?	Marit ville vite...	EmbObQ	NonReflexive	none
510	Anne	Hva slags fugl var det?	Anne spurte...	EmbObQ	NonReflexive	none
602	Anne	Jeg har glemt nøklene mine hjemme.	Anne er sikker på at...	FillerDecl	NonReflexive	none
608	Marit	Jeg liker fiskekaker bedre enn kjøttkaker.	Marit sa at...	FillerDecl	NonReflexive	none
610	Anne	Jeg har glemt vesken min på bussen.	Anne er sikker på at...	FillerDecl	NonReflexive	none
612	Marit	Jeg kjøpte en ny klokke i går. 	Marit sa at...	FillerDecl	NonReflexive	none
403	Ole	Hvor mye snø kom det i går?	Ole ville vite...	EmbObQ	NonReflexive	none
407	Ole	Hva slags band spilte på festivalen i helgen?	Ole spurte...	EmbSubQ	NonReflexive	none
505	Pål	Når åpnet den nye spillbutikken i Tromsø?	Pål ville vite...	EmbObQ	NonReflexive	none
507	Ole	Hvor mange kunder kjøpte en ny kjole?	Ole spurte...	EmbSubQ	NonReflexive	none
509	Pål	Hvordan var treningen i går?	Pål spurte...	EmbObQ	NonReflexive	none
601	Pål	Jeg fant vottene mine under sengen.	Pål sa at...	FillerDecl	NonReflexive	none
603	Ole	Jeg ble bitt i hånden av en katt.	Ole sa at...	FillerDecl	NonReflexive	none
605	Pål	Jeg skjøt ballen rett i mål.	Pål sa at ...	FillerDecl	NonReflexive	none
607	Ole	En rotte er større enn en mus.	Ole er sikker på at...	FillerDecl	NonReflexive	none
701	Jonas:	Jonas spurte om hvem som laget maten.	...	SubQshort	1	none
703	Anne:	Anne spurte om hva som ble sagt i møtet.	...	SubQshort	1	none
711	Jonas:	Jonas spurte om hvor mange lag som deltok i turneringen.	...	SubQlong	1	none
713	Marit:	Marit spurte om hvilke bøker som var spennende.	...	SubQlong	1	none
801	Jonas:	Jonas spurte om hva hun jobbet med.	...	ObjQshort	1	none
803	Marit:	Marit spurte om hvem Anne er sammen med.	...	ObjQshort	1	none
811	Jonas:	Jonas spurte om når Eirik flyttet til Oslo.	...	ObjQlong	1	none
813	Marit:	Marit spurte om hvordan han gjorde det. 	...	ObjQlong	1	none
702	Marit:	Marit spurte om hvem som laget maten.	...	SubQshort	2	none
704	Pål:	Pål spurte om hva som ble sagt i møtet.	...	SubQshort	2	none
712	Eirik:	Eirik spurte om hvor mange lag som deltok i turneringen.	...	SubQlong	2	none
714	Anne:	Anne spurte om hvilke bøker som var spennende.	...	SubQlong	2	none
655	Marit:	Marit spurte om hvordan han gjorde det. 	...	ObjQlong	1	none
813	Marit:	Marit spurte om hva han jobbet med.	...	ObjQshort	2	none
802	Anne:	Anne spurte om hvem Marit er sammen med.	...	ObjQshort	2	none
804	Eirik:	Eirik spurte om når Pål flyttet til Tromsø.	...	ObjQlong	2	none
